id,name,member_count,address
1,IFK Göteborg,6125,"Ullevigatan 5, 411 40 Göteborg"
2,BK Häcken,4000,"Gustaf Dalénsgatan 2, 417 05 Göteborg"
3,GAIS,3100,"Ullevigatan 5, 411 40 Göteborg"
4,Örgryte IS,4000,"Gamla Ullevi, Göteborg"
5,Västra Frölunda IF,2000,"Ruddalavägen 50, 426 55 Västra Frölunda"
6,Qviding FIF,1500,"Härlanda Park, 416 78 Göteborg"
7,Utsiktens BK,1200,"Ruddalens IP, Västra Frölunda"
8,Lundby IF,1000,"Länsmansgårdens IP, Göteborg"
9,Gunnilse IS,1200,"Hjällbovallen, Angered"
10,Göteborgs FF,800,"Majvallen, Kungsladugård"
