Unnamed: 0,Unnamed: 1,name,För. Nr,Adress,Co Adress,Post Nr,Unnamed: 7,Postort,Kommun,Epostadress,Unnamed: 11,Hemsida,latitude,longitude,district,geocoding_confidence,geocoding_details,size_bucket
,,Afganska Göteborg FF,55754.0,Blåsvädersgatan,Mahdi Khodadad,41832,,Göteborg,Göteborg,mahdi322.mk47@gmail.com,,,57.71596505625,11.88830339375,,exact,Street midpoint: BlÅsvÄdersgatan (16 addresses),small
,,Ahlafors IF,1019.0,Box 3002,,44914,,ALAFORS,Ale,kansliet@ahlaforsif.se,,www.ahlaforsif.se,,,,failed,Geocoding failed,medium
,,AIF Göteborg,1088.0,Kungsladugårdsgatan 100,Lars Wingfors,41476,,GÖTEBORG,Göteborg,AIF.Goteborg@gmail.com,,,57.6812936,11.9294918,,exact,Exact match: KungsladugÅrdsgatan 100,large
,,Alealiber IF,54781.0,Ahrenbergsgatan 27,Cecilia Jansson,416 73,,Göteborg,Göteborg,alealiberif@outlook.com,,https://www.svenskalag.se/alealiberif,57.723051,12.0328446,,exact,Exact match: Ahrenbergsgatan 27,medium
,,Angered BK,53795.0,Knattens väg 12,,424 32,,Angered,Göteborg,abbas@gunnilseis.se; idris.abdi@gunnilseis.se; kansli@gunnilseis.se; husyusu@live.se,,https://www.angeredallians.se,57.7778656,12.0164021,,exact,Exact match: Knattens VÄg 12,medium
,,Angered MBIK,8390.0,Svarte Filips gata 10,,42444,,ANGERED,Göteborg,angeredmbik@gmail.com; husyusu@live.se,,www.svenskalag.se/angeredmbik,57.8146776,12.0323338,,exact,Exact match: Svarte Filips Gata 10,small
,,Angered SK,52246.0,BOX 36,,424 21,,Angered,Göteborg,angeredsk@gmail.com,,svenskalag.se/angeredsk,,,,failed,Geocoding failed,medium
,,Angereds IS,31137.0,Högaffelgatan 15,,424,,Angered,Göteborg,viktor.kirsby@angeredsis.com,,angeredsis.com,57.7948247,12.0546202,,fuzzy,Fuzzy match: HÖgaffelsgatan 15 (score: 96),small
,,Annedal FF,54158.0,Nilssonsberg 31,,41143,,Göteborg,Göteborg,annedalff@hotmail.com,,,57.694819,11.9593032,,exact,Exact match: Nilssonsberg 31,small
,,Apollon FF Göteborg ,56645.0,Våmmedalsvägen 8,,42831,,Kållered,Göteborg,amaertotelioses@gmail.com,,,57.565622883333326,11.931339533333333,,fuzzy,Street midpoint: VÅgnedalsvÄgen (18 addresses),large
,,Askims IK,1113.0,Box 9120,Stora Åvägen 1,40093,,GÖTEBORG,Göteborg,info@askimsik.se,,www.askimsik.se,,,,failed,Geocoding failed,medium
,,Assyriska BK,8350.0,Diamantgatan 1,,42150,,VÄSTRA FRÖLUNDA,Göteborg,assyriska.bk@mail.com,,https://www.laget.se/AssyriskaBK,57.6508038,11.9035503,,exact,Exact match: Diamantgatan 1,medium
,,Athletic FC Angered ,56528.0,Kalendervägen 16,Hussein Yusuf Abdi,41534,,GÖTEBORG,Göteborg,afcangered@gmail.com,,w,57.7489988,12.0339973,,exact,Exact match: KalendervÄgen 16,medium
,,Atletico Göteborg FC ,55193.0,"Danska vägen 88, Göteborg",,416 59,,Göteborg,Göteborg,ts.samuelsson@hotmail.com,,,57.7132795,12.0063108,,exact,Exact match: Danska VÄgen 88,small
,,Azalea BK,27680.0,Ekedalsgatan 20,Majvallen,41468,,GÖTEBORG,Göteborg,kansli@azaleabk.se,,http://www.azaleabk.se,57.6893864,11.9344163,,exact,Exact match: Ekedalsgatan 20,large
,,Backatorp IF,32492.0,, ,42247,,Hisings Backa,Göteborg,kansliet@backatorpif.se,,www.backatorpif.se,,,,failed,Geocoding failed,medium
,,Balltorps FF,24821.0,Gundefjällsgatan 115,Jonas Werley,43150,,Mölndal,Mölndal,joel@i-store.se,,www.laget.se/balltorpsff,57.71566997499999,12.061390817857143,,fuzzy,Street midpoint: LÅngefjÄllsgatan (28 addresses),medium
,,Bellevue City FK ,56477.0,Karl Gustavsgatan 53,,41131,,Göteborg,Göteborg,tom_engvall@hotmail.com,,,57.6943305,11.9693317,,exact,Exact match: Karl Gustavsgatan 53,small
,,Bergsjö IF,1168.0,"Sjustjärnan, Bergsjövallen",,415 51,,GÖTEBORG,Göteborg,bergsjoifgbg@outlook.com,,www.laget.se/bergsjo_if,57.7526695,12.0568619,,exact,Street midpoint: SjustjÄrnan (2 addresses),small
,,Bergums IF,1172.0,Bergumsvallen,,42470,,OLOFSTORP,Göteborg,bergumsif@gmail.com,,Laget.se/bergumsif,57.8303857,11.9171153,,fuzzy,Street midpoint: Bergkullen (1 addresses),small
,,Bjurslätts IF,1192.0,Hällskriftsgatan 3,,41726,,GÖTEBORG,Göteborg,info@bjurslatt.se,,http://www.bjurslatt.com,57.730148,11.9330858,,exact,Exact match: HÄllskriftsgatan 3,small
,,Björndammens BK,8304.0,Grenvägen 3,Christer Grahn,43347,,PARTILLE,Partille,kansli@bjorndammensbk.se,,www.bjorndammensbk.se,57.6908954,11.9360313,,fuzzy,Fuzzy match: GenvÄgen 3 (score: 94),medium
,,BK Bifrost,8301.0,BK Bifrost ,Karin Larsson,431 44,,MÖLNDAL,Mölndal,fana_hunegnaw@hotmail.com; kassor@bkbifrost.se,,www.bkbifrost.se,,,,failed,Geocoding failed,medium
,,BK Björkåsen,1584.0,Nolängsvägen 12,Curt Bryngelsson,424 55,,Angered,Göteborg,cbryngel@gmail.com,,http://www.laget.se/bjorkasen,57.7802454,12.0609278,,exact,Exact match: NolÄngsvÄgen 12,small
,,BK Häcken,2126.0,Entreprenadvägen 6,,417 05,,GÖTEBORG,Göteborg,kansli@bkhacken.se; kansliungdom@bkhacken.se; anders.wahrnberg@bkhacken.se,,https://bkhacken.se/,57.7411732,11.9473239,,exact,Exact match: EntreprenadvÄgen 6,small
,,BK Häcken FF,8378.0,Entreprenadvägen 6,,417 05,,Göteborg,Göteborg,kansli@bkhacken.se; kansliungdom@bkhacken.se; anders.wahrnberg@bkhacken.se; tomas.andersson@bkhacken.se,,https://bkhacken.se/,57.7411732,11.9473239,,exact,Exact match: EntreprenadvÄgen 6,medium
,,BK S:t Jakob,34967.0,Parkgatan 4,,41138,,GÖTEBORG,Göteborg,Robertolans@hotmail.com,,svenskalag.se/bkjakob,57.7029311,11.9748047,,exact,Exact match: Parkgatan 4,small
,,BK Skottfint,35610.0,Verkmästaregatan 2,Daniel Åman,41757,,GÖTEBORG,Göteborg,fogis@skottfint.nu,,http://www.skottfint.nu,57.7047696,11.9318188,,exact,Exact match: VerkmÄstaregatan 2,small
,,Brämaregårdens FC,45892.0,Blidvädersplan,,418 30,,Göteborg,Göteborg,bramaregarden@hotmail.com,,svenskalag.se/bfc,57.71060287844827,11.890308482758622,,fuzzy,Street midpoint: BlidvÄdersgatan (116 addresses),small
