Unnamed: 0,Unnamed: 1,Namn,För. Nr,Adress,Co Adress,Post Nr,Unnamed: 7,Postort,Kommun,Epostadress,Unnamed: 11,Hemsida,lat,lon,district,geocoding_confidence,geocoding_details,size_bucket,latitude,longitude,id
,,Afganska Göteborg FF,55754.0,Blåsvädersgatan,Mahdi Khodadad,41832,,Göteborg,Göteborg,mahdi322.mk47@gmail.com,,,57.71596505625,11.88830339375,,exact,Street midpoint: BlÅsvÄdersgatan (16 addresses),medium,57.71596505625,11.88830339375,1
,,Ahlafors IF,1019.0,Box 3002,,44914,,ALAFORS,Ale,kansliet@ahlaforsif.se,,www.ahlaforsif.se,,,,failed,Geocoding failed,medium,,,2
,,AIF Göteborg,1088.0,Kungsladugårdsgatan 100,Lars Wingfors,41476,,GÖTEBORG,Göteborg,AIF.Goteborg@gmail.com,,,57.6812936,11.9294918,,exact,Exact match: KungsladugÅrdsgatan 100,medium,57.6812936,11.9294918,3
,,Alealiber IF,54781.0,Ahrenbergsgatan 27,Cecilia Jansson,416 73,,Göteborg,Göteborg,alealiberif@outlook.com,,https://www.svenskalag.se/alealiberif,57.723051,12.0328446,,exact,Exact match: Ahrenbergsgatan 27,medium,57.723051,12.0328446,4
,,Angered BK,53795.0,Knattens väg 12,,424 32,,Angered,Göteborg,abbas@gunnilseis.se; idris.abdi@gunnilseis.se; kansli@gunnilseis.se; husyusu@live.se,,https://www.angeredallians.se,57.7778656,12.0164021,,exact,Exact match: Knattens VÄg 12,medium,57.7778656,12.0164021,5
,,Angered MBIK,8390.0,Svarte Filips gata 10,,42444,,ANGERED,Göteborg,angeredmbik@gmail.com; husyusu@live.se,,www.svenskalag.se/angeredmbik,57.8146776,12.0323338,,exact,Exact match: Svarte Filips Gata 10,medium,57.8146776,12.0323338,6
,,Angered SK,52246.0,BOX 36,,424 21,,Angered,Göteborg,angeredsk@gmail.com,,svenskalag.se/angeredsk,,,,failed,Geocoding failed,medium,,,7
,,Angereds IS,31137.0,Högaffelgatan 15,,424,,Angered,Göteborg,viktor.kirsby@angeredsis.com,,angeredsis.com,57.7948247,12.0546202,,fuzzy,Fuzzy match: HÖgaffelsgatan 15 (score: 96),medium,57.7948247,12.0546202,8
,,Annedal FF,54158.0,Nilssonsberg 31,,41143,,Göteborg,Göteborg,annedalff@hotmail.com,,,57.694819,11.9593032,,exact,Exact match: Nilssonsberg 31,large,57.694819,11.9593032,9
,,Apollon FF Göteborg ,56645.0,Våmmedalsvägen 8,,42831,,Kållered,Göteborg,amaertotelioses@gmail.com,,,57.565622883333326,11.931339533333333,,fuzzy,Street midpoint: VÅgnedalsvÄgen (18 addresses),medium,57.565622883333326,11.931339533333333,10
