id,name,latitude,longitude,size_bucket,Adress,Postort
1,Afganska Göteborg FF,57.71596505625,11.88830339375,small,Blåsvädersgatan,Göteborg
2,AIF Göteborg,57.6812936,11.9294918,large,Kungsladugårdsgatan 100,GÖTEBORG
3,Alealiber IF,57.723051,12.0328446,medium,Ahrenbergsgatan 27,Göteborg
4,Angered BK,57.7778656,12.0164021,medium,Knattens väg 12,Angered
5,Angered MBIK,57.8146776,12.0323338,small,Svarte Filips gata 10,ANGERED
6,Angereds IS,57.7948247,12.0546202,small,Högaffelgatan 15,Angered
7,Annedal FF,57.694819,11.9593032,small,Nilssonsberg 31,Göteborg
8,Apollon FF Göteborg ,57.565622883333326,11.931339533333333,large,Våmmedalsvägen 8,Kållered
9,Assyriska BK,57.6508038,11.9035503,medium,Diamantgatan 1,VÄSTRA FRÖLUNDA
10,Athletic FC Angered ,57.7489988,12.0339973,medium,Kalendervägen 16,GÖTEBORG
11,Atletico Göteborg FC ,57.7132795,12.0063108,small,"Danska vägen 88, Göteborg",Göteborg
12,Azalea BK,57.6893864,11.9344163,large,Ekedalsgatan 20,GÖTEBORG
13,Balltorps FF,57.71566997499999,12.061390817857143,medium,Gundefjällsgatan 115,Mölndal
14,Bellevue City FK ,57.6943305,11.9693317,small,Karl Gustavsgatan 53,Göteborg
15,Bergsjö IF,57.7526695,12.0568619,small,"Sjustjärnan, Bergsjövallen",GÖTEBORG
16,Bergums IF,57.8303857,11.9171153,small,Bergumsvallen,OLOFSTORP
17,Bjurslätts IF,57.730148,11.9330858,small,Hällskriftsgatan 3,GÖTEBORG
18,Björndammens BK,57.6908954,11.9360313,medium,Grenvägen 3,PARTILLE
19,BK Björkåsen,57.7802454,12.0609278,small,Nolängsvägen 12,Angered
20,BK Häcken,57.7411732,11.9473239,small,Entreprenadvägen 6,GÖTEBORG
21,BK Häcken FF,57.7411732,11.9473239,medium,Entreprenadvägen 6,Göteborg
22,BK S:t Jakob,57.7029311,11.9748047,small,Parkgatan 4,GÖTEBORG
23,BK Skottfint,57.7047696,11.9318188,small,Verkmästaregatan 2,GÖTEBORG
24,Brämaregårdens FC,57.71060287844827,11.890308482758622,small,Blidvädersplan,Göteborg
25,Chalmers Studentkårs IS,57.6942126,11.9780429,small,Teknologgården 2,Göteborg
26,Club América FF,57.716712202500005,11.89526236,medium,Sommarvädersgatan 18-1201,Göteborg
27,Croatia Göteborg,57.7522147,12.0396423,small,Kortedala Idrottsväg 15,GÖTEBORG
28,Dalen/Krokslätts FF,57.6778392,11.987479566666666,medium,Krokslätts Storgata 44,MÖLNDAL
29,Diseröd SK,57.70056967999999,12.00413579,medium,ULVEGÄRDEGATAN 49,KUNGÄLV
30,Donsö IS,57.604849,11.8044952,small,Lurkenvägen 2,DONSÖ
31,Elisedals IS,57.72190866666666,12.009794153333331,medium,Löparegatan 2,GÖTEBORG
32,Eriksbergs IF,57.7048777,11.9108867,small,Danagatan 16,GÖTEBORG
33,Espanyol Göteborg IF ,57.7214165,11.9392444,small,Trädesgatan 5A ,Göteborg
34,FC Fyrklövern,57.727155008,11.932013047999998,large,Fyrklöversgatan,Göteborg
35,FC Heden,57.8066728,11.9795949,large,Johannas väg 26,Göteborg
36,FC Härlanda,57.643982,11.9126701,medium,Lilla Korsåsgatan 28,Västra Frölunda
37,FC Komarken,57.760190375,12.050918625,small,Kongahällagatan 34 A,KUNGÄLV
38,FC Kålltorp ,57.7169076,12.0217515,small,Björcksgatan 11,Göteborg
39,FC Ljiljan Göteborg,57.6261422125,11.955552384375,medium,Ekspinnarevägen 19,Mölnlycke
40,FC Majorna,57.6964068,11.9347847,small,Bangatan 23,Göteborg
41,Finlandia Pallo AIF,57.750462178125005,11.918145346875,small,Hinnebäcksgatan,GÖTEBORG
42,Fotö GoIF,57.64824598604651,11.79998215116279,small,Dörjevägen 18,Fotö
43,Framtida Idrottsförening ,57.7469774,11.9756054,small,"Markurellgatan 24, lgh 1102",Hisings Backa
44,Fröjdens FK,57.680915,12.0018317,large,Mölndalsvägen 87D,Göteborg
45,Fässbergs IF,57.7882203,12.0963704,small,Idrottsvägen 3,MÖLNDAL
46,GAIS,57.6805911,12.0295318,medium,Gamla Boråsvägen 75,GÖTEBORG
47,GAIS Futsal,57.678873825,11.9482928,small,Årsringagatan 50,Mölndal
48,Galacticos FC,57.7618241,12.0541806,medium,Galileis Gata 13,Göteborg
49,Gambian Mix IF,57.7134989,11.9127278,medium,Inägogatan 23C,Göteborg 
50,Gamlestaden FF,57.7357925,11.792644433333331,small,Eklövsvägen 216,Lerum
51,Gatans Lag FF,57.7162171,12.0171829,large,Härlanda Park 6B,Göteborg
52,GoldCoast FC,57.7591586734375,12.0711968640625,medium,Tellusgatan 8 lgh 452,GÖTEBORG 
53,Gothenburg Celtic FC,57.6990285,11.9591206,large,Haga Östergata 18,Göteborg
54,Grunden BOIS,57.7380158,12.0349041,large,Krutvägen 4,GÖTEBORG
55,Guldhedens IK,57.6866629,11.9684412,medium,Dr. Heymans gata 1F,GÖTEBORG
56,Gunnared KIF,57.8004972,12.0651938,large,Gunnaredsvallen 4,Angered
57,Gunnilse IS,57.7778656,12.0164021,small,Knattens Väg 12,ANGERED
58,Gårda BK,57.69443050625,11.923113075,small,Katrinebergsgatan 4B,Mölndal
