Företagsnamn,Postadress,Omsättning (tkr),Anställda,År
Volvo Personvagnar AB,418 78 Göteborg,300276000,19340,2024
Volvo Lastvagnar AB,417 15 Göteborg,141881132,4865,2024
WiLLY:S AB,412 85 Göteborg,41965140,6742,2024
Volvo Powertrain AB,417 10 Göteborg,30000418,4550,2024
Polestar Performance AB,418 78 Göteborg,22719783,1156,2024
Volvo Car Sverige AB,418 78 Göteborg,20871637,115,2024
Mölnlycke Health Care AB,415 11 Göteborg,18343000,524,2024
Volvo Parts AB,418 79 Göteborg,17143902,511,2024
CellMark AB,411 04 Göteborg,16239162,134,2024
Aktiebolaget Volvo Penta,417 15 Göteborg,14615000,1196,2024
Stena Recycling AB,414 51 Göteborg,14501326,1726,2024
Volvo Treasury AB,417 55 Göteborg,14431000,0,2024
Aurobay Sweden AB,417 55 Göteborg,14340796,1664,2024
Stena Metal International AB,414 51 Göteborg,12553600,42,2024
Volvo Information Technology AB,417 15 Göteborg,12500475,1167,2024
Volvo Logistics AB,418 79 Göteborg,12344863,258,2024
Schenker AB,412 85 Göteborg,12340894,1832,2024
Stena Oil AB,414 51 Göteborg,12185926,21,2024
Volvo Technology AB,417 55 Göteborg,12173306,3206,2024
SKF International AB,415 05 Göteborg,11223556,16,2024
Tamro AB,422 46 Hisings Backa,10725125,727,2024
SKF Sverige AB,415 05 Göteborg,9294929,1476,2024
Volvo Bussar AB,417 15 Göteborg,8966613,775,2024
LYNK & CO International AB,417 55 Göteborg,8274634,259,2024
Serneke Sverige AB,400 10 Göteborg,7873159,910,2024
Aktiebolaget SKF,415 05 Göteborg,7791000,653,2024
Akademiska Hus AB,412 58 Göteborg,7719000,559,2024
IAC Group Sweden AB,418 78 Göteborg,6890577,1411,2024
Ekman & Co AB,411 11 Göteborg,6135771,58,2024
Stena Line Scandinavia AB,413 29 Göteborg,6069621,1715,2024
Elof Hansson Trade AB,413 29 Göteborg,5716837,54,2024
Adient Sweden AB,418 79 Göteborg,5572554,704,2024
Bunker One (Sweden) AB,426 71 Västra Frölunda,5467446,13,2024
Atlantic Container Line AB,418 34 Göteborg,5228546,7,2024
GEODIS Sweden AB,411 20 Göteborg,4781145,397,2024
Göteborg Energi AB,416 64 Göteborg,4557000,856,2024
Chalmers Tekniska Högskola AB,412 58 Göteborg,4234008,3007,2024
Aktiebolag Lindex,411 03 Göteborg,4142946,548,2024
Aptiv Contract Services Sweden AB,412 63 Göteborg,3943639,264,2024
Fortex International AB,411 16 Göteborg,3813121,40,2024
Solar Sverige AB,411 04 Göteborg,3790922,542,2024
OneMed Sverige AB,425 37 Hisings Kärra,3757294,365,2024
Volvo Bil i Göteborg AB,418 78 Göteborg,3687618,223,2024
Lindex Sverige AB,411 03 Göteborg,3554060,1099,2024
Exertis CapTech AB,436 33 Askim,3451626,242,2024
Aktiebolaget Tingstad Papper,415 02 Göteborg,3398240,475,2024
Zeekr Technology Europe AB,417 55 Göteborg,3272438,932,2024
Stena Bulk AB,413 03 Göteborg,3202116,31,2024
ZF CV Distribution Sweden AB,421 30 Västra Frölunda,3140590,47,2024
Korab International AB,411 04 Göteborg,3115528,14,2024
Implenia Sverige AB,411 18 Göteborg,2851880,423,2024
Hultafors Group AB,421 30 Västra Frölunda,2798820,137,2024
SKF Eurotrade AB,415 50 Göteborg,2715228,24,2024
Bostadsaktiebolaget Poseidon,415 05 Göteborg,2621293,364,2024
Göteborg Energi Din El AB,Göteborg,2562974,0,2024
Hornbach Byggmarknad AB,417 05 Göteborg,2502960,798,2024
Volvo Car Real Estate and Assets 1 AB,Göteborg,2457398,0,2024
BASF AB,412 58 Göteborg,2336000,39,2024
ESAB AB,417 55 Göteborg,2230542,431,2024
NTEX AB,418 79 Göteborg,2181480,209,2024
St1 Refinery AB,418 34 Göteborg,2171506,264,2024
Nakdcom One World AB,415 11 Göteborg,2162844,257,2024
Vy Buss AB,411 11 Göteborg,2158407,1483,2024
Thomas Betong AB,412 54 Göteborg,2156351,495,2024
Göteborgs Stads Bostadsaktiebolag,412 52 Göteborg,2092861,409,2024
Stena Stål AB,414 51 Göteborg,2070385,234,2024
Arthur J Gallagher Nordic AB,412 63 Göteborg,2026691,34,2024
Estrella AB,424 69 Angered,1950564,267,2024
DFDS AB,418 34 Göteborg,1926515,245,2024
Polestar Automotive Sweden AB,418 78 Göteborg,1912737,46,2024
Volvo Group Purchasing AB,417 15 Göteborg,1895174,422,2024
Plasman Sverige AB,418 79 Göteborg,1837365,669,2024
Capio Närsjukvård AB,411 04 Göteborg,1824904,1136,2024
Svenska Neoplan AB,417 05 Göteborg,1780875,0,2024
Sportlife M W AB,417 05 Göteborg,1753750,965,2024
REMONDIS Sweden AB,422 46 Hisings Backa,1746215,479,2024
Volvo Lastvagnar Sverige AB,418 79 Göteborg,1745922,84,2024
Skrotfrag AB,424 38 Agnesberg,1745847,137,2024
Familjebostäder i Göteborg AB,412 54 Göteborg,1725826,271,2024
Alumeco Sverige AB,411 04 Göteborg,1708982,40,2024
Ridestore AB,417 70 Göteborg,1691751,46,2024
Wästbygg Entreprenad AB,416 64 Göteborg,1687109,194,2024
Nexer AB,417 56 Göteborg,1686451,962,2024
Jollyroom AB,418 78 Göteborg,1627641,328,2024
Connect Bus Sverige AB,415 02 Göteborg,1608963,2381,2024
Volvo Group Connected Solutions AB,405 08 Göteborg,1597302,352,2024
Jernbro Industrial Services AB,412 63 Göteborg,1590471,886,2024
Buss i Väst AB,412 50 Göteborg,1589696,17,2024
Göteborg Energi Nät AB,415 02 Göteborg,1549563,153,2024
Logistic Contractor Entreprenad AB,416 64 Göteborg,1540173,52,2024
Vitrolife Sweden AB,421 32 Västra Frölunda,1503575,168,2024
Ascom (Sweden) AB,417 05 Göteborg,1500129,245,2024
Norconsult Sverige AB,417 55 Göteborg,1490472,1227,2024
Liseberg AB,412 51 Göteborg,1467976,1264,2024
Swegon Sverige AB,421 30 Västra Frölunda,1456440,145,2024
Inet AB,436 33 Askim,1451501,114,2024
Jeppesen Systems AB,411 03 Göteborg,1412263,318,2024
Alten Sverige AB,411 04 Göteborg,1404815,1415,2024
MQ Retail AB,404 39 Göteborg,1380236,551,2024
Bulten Sweden AB,421 32 Västra Frölunda,1368000,28,2024
Göteborgs Spårvägar AB,416 64 Göteborg,1355418,1312,2024
JOAB Försäljnings AB,417 29 Göteborg,1348740,282,2024
APM Terminals Gothenburg AB,418 34 Göteborg,1347693,333,2024
Sector Alarm AB,412 50 Göteborg,1346922,106,2024
Aktiebolaget Volvo,418 78 Göteborg,1334000,321,2024
MacGregor Sweden AB,421 30 Västra Frölunda,1333686,198,2024
WirelessCar Sweden AB,412 50 Göteborg,1332996,376,2024
Skogssällskapets Förvaltning AB,411 04 Göteborg,1315720,103,2024
International Färg AB,424 57 Gunnilse,1311622,139,2024
Picadeli AB,415 11 Göteborg,1308094,78,2024
Momentum Industrial AB,415 05 Göteborg,1291430,276,2024
Ocean Infinity AB,426 71 Västra Frölunda,1272993,87,2024
FlexLink AB,415 05 Göteborg,1269395,117,2024
Renova Miljö AB,411 04 Göteborg,1261231,506,2024
A.J. Dahlberg Slakteri AB,Göteborg,1260021,155,2024
Svenska Mässan Gothia Towers AB,412 51 Göteborg,1255027,775,2024
Wallenstam Stacken AB,Göteborg,1239719,0,2024
Scan Global Logistics AB,412 63 Göteborg,1208320,123,2024
AGN Haga AB,411 05 Göteborg,1194085,74,2024
Capio Primärvård AB,405 22 Göteborg,1187826,730,2024
Rasta Sverige AB,436 32 Askim,1177645,554,2024
MQ MarQet AB,412 63 Göteborg,1174701,374,2024
Schenker Åkeri AB,422 46 Hisings Backa,1160618,1028,2024
Brose Sweden AB,423 37 Torslanda,1160343,150,2024
Stampen Lokala Medier AB,411 11 Göteborg,1143791,560,2024
Karlastaden Utveckling AB,Göteborg,1142739,0,2024
Victor Hasselblad AB,401 23 Göteborg,1124715,53,2024
Beyond Gravity Sweden AB,412 76 Göteborg,1119688,349,2024
Consilium Marine & Safety AB,422 46 Hisings Backa,1088276,127,2024
Car-O-Liner Group AB,421 32 Västra Frölunda,1085230,203,2024
Specsavers Sweden AB,411 04 Göteborg,1068375,106,2024
Continental Däck Sverige AB,414 51 Göteborg,1065310,69,2024
Global Forest Products Sweden AB,411 21 Göteborg,1039852,5,2024
COWI AB,411 04 Göteborg,1038289,679,2024
Zinzino Operations AB,411 06 Göteborg,1037926,133,2024
Beiersdorf AB,417 55 Göteborg,1036801,104,2024
Sortera Materials AB,412 63 Göteborg,1018595,87,2024
Furetank Rederi AB,430 82 Donsö,1012766,184,2024
ASSA ABLOY Industrial Sverige AB,426 77 Västra Frölunda,997114,312,2024
Amring AB,418 78 Göteborg,995166,83,2024
Göteborgs Hamn AB,414 51 Göteborg,995068,163,2024
Shiloh Industries AB,421 32 Västra Frölunda,983166,313,2024
Dachser Sweden AB,418 79 Göteborg,982615,202,2024
MVB Väst AB,415 02 Göteborg,971997,117,2024
Byggnads AB Tornstaden,416 60 Göteborg,942525,65,2024
Swisslog AB,415 12 Göteborg,939475,157,2024
Wallennius SOL AB,414 51 Göteborg,939221,29,2024
Emil Lundgren AB,417 05 Göteborg,935071,499,2024
SKG Sverige AB,415 02 Göteborg,934739,4,2024
Rolfs Flyg- & Bussresor AB,417 06 Göteborg,932847,98,2024
Semcon Sweden AB,417 55 Göteborg,915316,658,2024
Albireo AB,413 46 Göteborg,913136,36,2024
VFS Nordic AB,418 79 Göteborg,906487,38,2024
Esswell International AB,411 14 Göteborg,906314,23,2024
Arriver Software AB,417 56 Göteborg,902924,422,2024
Higab AB,412 51 Göteborg,902587,103,2024
Göteborgs Stads Leasing AB,417 07 Göteborg,901907,125,2024
Ford Sweden Parts Operations AB,400 60 Göteborg,897663,1,2024
DEKRA Industrial AB,415 11 Göteborg,895157,597,2024
Högsbo Stormarknad AB,421 32 Västra Frölunda,891311,114,2024
Central National Sweden AB,411 16 Göteborg,889527,0,2024
Axel Arigato AB,411 21 Göteborg,886299,78,2024
Kvdbil AB,411 04 Göteborg,885833,178,2024
Th. Brunius & Co AB,411 21 Göteborg,853511,14,2024
Kosan Gas Sverige AB,422 46 Hisings Backa,841943,12,2024
Medartuum AB,411 09 Göteborg,841079,19,2024
Stena Metall AB,414 51 Göteborg,839000,7,2024
Aros Kapital AB,416 64 Göteborg,828962,90,2024
Bagaren & Kocken AB,418 78 Göteborg,822146,96,2024
Jotun Sverige AB,426 52 Västra Frölunda,820514,79,2024
PTC Sweden AB,412 50 Göteborg,819026,24,2024
Swecem AB,412 63 Göteborg,816297,27,2024
Capgemini Engineering Sverige AB,411 06 Göteborg,813816,516,2024
Fractal Gaming AB,421 31 Västra Frölunda,810702,64,2024
AF Bygg Väst AB,412 50 Göteborg,807039,44,2024
Scanlube AB,418 34 Göteborg,798925,45,2024
Kålltorps Byggnads AB,415 02 Göteborg,784179,85,2024
Nordic Bulkers AB,411 04 Göteborg,782187,80,2024
